Q7688892,CHEMBL185878
Q7688896,CHEMBL412272
Q7692792,CHEMBL1242629
Q7698204,CHEMBL383675
Q7701687,CHEMBL1306
Q7706546,CHEMBL1908043
Q7809151,CHEMBL41632
Q7810457,CHEMBL1289494
Q7828277,CHEMBL487602
Q7836470,CHEMBL17350
Q7843228,CHEMBL2104484
Q7843285,CHEMBL506538
Q10354103,CHEMBL608
Q310919,CHEMBL297569
Q312266,CHEMBL116438
Q418201,CHEMBL766
Q418214,CHEMBL11722
Q418230,CHEMBL584805
Q418237,CHEMBL28457
Q418379,CHEMBL384441
Q418448,CHEMBL1060
Q418459,CHEMBL133266
Q418492,CHEMBL402794
Q418508,CHEMBL771
Q418523,CHEMBL1448
Q418546,CHEMBL158
Q418599,CHEMBL37537
Q418607,CHEMBL70971
Q418628,CHEMBL168
Q418735,CHEMBL1276484
Q418819,CHEMBL1200374
Q418834,CHEMBL19612
Q418842,CHEMBL386007
Q418905,CHEMBL267719
Q418998,CHEMBL968
Q419020,CHEMBL561013
Q419096,CHEMBL510309
Q419143,CHEMBL1399
Q419164,CHEMBL537
Q419175,CHEMBL16073
Q419340,CHEMBL499585
Q419355,CHEMBL259727
Q419394,CHEMBL1200694
Q419442,CHEMBL467614
Q419495,CHEMBL470671
Q419513,CHEMBL277497
Q419550,CHEMBL9967
Q419559,CHEMBL315818
Q419608,CHEMBL698
Q419652,CHEMBL1479
Q419663,CHEMBL1515
Q419820,CHEMBL639
Q419822,CHEMBL564
Q419824,CHEMBL753
Q419895,CHEMBL174821
Q419926,CHEMBL365795
Q419930,CHEMBL39444
Q419935,CHEMBL1680
Q419948,CHEMBL1148
Q419995,CHEMBL945
Q420009,CHEMBL181
Q420098,CHEMBL406819
Q420284,CHEMBL500871
Q420364,CHEMBL1540
Q420436,CHEMBL92
Q420439,CHEMBL1200406
Q420571,CHEMBL833
Q420648,CHEMBL31422
Q420698,CHEMBL280331
Q420859,CHEMBL1200436
Q420875,CHEMBL499808
Q420886,CHEMBL1466
Q420899,CHEMBL1515611
Q421058,CHEMBL252923
Q421072,CHEMBL36
Q421091,CHEMBL1201191
Q421094,CHEMBL1535
Q421100,CHEMBL510714
Q421119,CHEMBL1560
Q421193,CHEMBL61
Q421239,CHEMBL1430
Q421297,CHEMBL1093
Q421301,CHEMBL1094
Q421317,CHEMBL1201031
Q421323,CHEMBL60851
Q421336,CHEMBL1732
Q421338,CHEMBL163100
Q421352,CHEMBL1162
Q421365,CHEMBL1085947
Q421369,CHEMBL1201187
Q421385,CHEMBL55517
Q421598,CHEMBL265941
Q421748,CHEMBL45967
Q421751,CHEMBL346918
Q421809,CHEMBL483105
Q421964,CHEMBL284616
Q422112,CHEMBL796
Q422134,CHEMBL405110
Q422163,CHEMBL2106274
Q422210,CHEMBL1503
Q422257,CHEMBL1593566
Q422343,CHEMBL1582
Q422416,CHEMBL135
Q422418,CHEMBL26
Q422434,CHEMBL1200696
Q422438,CHEMBL76
Q422457,CHEMBL416340
Q422511,CHEMBL395336
Q422597,CHEMBL14184
Q422604,CHEMBL885
Q422782,CHEMBL926
Q422970,CHEMBL643
Q422994,CHEMBL116155
Q423075,CHEMBL1000
Q423111,CHEMBL1229517
Q423364,CHEMBL27
Q423376,CHEMBL404
Q423380,CHEMBL963
Q423384,CHEMBL1201314
Q423401,CHEMBL1311
Q423515,CHEMBL7303
Q423520,CHEMBL567
Q423538,CHEMBL1079
Q423692,CHEMBL1198924
Q423751,CHEMBL841
Q423882,CHEMBL63558
Q424027,CHEMBL262777
Q424057,CHEMBL1237024
Q424145,CHEMBL976
Q424161,CHEMBL1520
Q424163,CHEMBL175247
Q424312,CHEMBL1382
Q424319,CHEMBL1200558
Q424409,CHEMBL369105
Q424446,CHEMBL157138
Q424477,CHEMBL1201356
Q424577,CHEMBL455491
Q424597,CHEMBL23194
Q424649,CHEMBL375951
Q424662,CHEMBL461349
Q424684,CHEMBL476936
Q424771,CHEMBL121
Q424871,CHEMBL1201330
Q424936,CHEMBL303004
Q424939,CHEMBL49338
Q424940,CHEMBL32
Q424966,CHEMBL45591
Q424976,CHEMBL986
Q425004,CHEMBL400247
Q425015,CHEMBL1236282
Q425097,CHEMBL39560
Q425111,CHEMBL28318
Q425122,CHEMBL417
Q425165,CHEMBL1628226
Q425289,CHEMBL1055
Q425362,CHEMBL496
Q425386,CHEMBL1201217
Q425680,CHEMBL406393
Q425827,CHEMBL18104
Q426044,CHEMBL462605
Q426185,CHEMBL142130
Q426220,CHEMBL582355
Q427179,CHEMBL77921
Q472476,CHEMBL627
Q481757,CHEMBL93645
